Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/22/2020,02/01/2020,07/11/2020,United States,All,Under 1 year,11,"8,072",75,2,14,98,
07/22/2020,02/01/2020,07/11/2020,United States,All,1-4 years,9,"1,547",52,2,41,100,
07/22/2020,02/01/2020,07/11/2020,United States,All,5-14 years,16,"2,379",78,5,49,138,
07/22/2020,02/01/2020,07/11/2020,United States,All,15-24 years,190,"14,810",300,62,51,475,
07/22/2020,02/01/2020,07/11/2020,United States,All,25-34 years,935,"30,885","1,113",416,149,"1,768",
07/22/2020,02/01/2020,07/11/2020,United States,All,35-44 years,"2,411","43,783","2,433","1,009",242,"4,048",
07/22/2020,02/01/2020,07/11/2020,United States,All,45-54 years,"6,566","81,840","6,433","2,912",571,"10,554",
07/22/2020,02/01/2020,07/11/2020,United States,All,55-64 years,"15,880","189,744","17,510","7,316","1,214","27,072",
07/22/2020,02/01/2020,07/11/2020,United States,All,65-74 years,"27,167","288,848","30,025","12,503","1,421","45,881",
07/22/2020,02/01/2020,07/11/2020,United States,All,75-84 years,"34,399","355,738","37,988","15,390","1,446","58,246",
07/22/2020,02/01/2020,07/11/2020,United States,All,85 years and over,"42,666","449,077","42,822","16,614","1,355","70,061",
07/22/2020,02/01/2020,07/11/2020,United States,All,All Ages,"130,250","1,466,723","138,829","56,231","6,553","218,441",
07/22/2020,02/01/2020,07/11/2020,United States,Male,Under 1 year,6,"4,497",50,2,8,62,
07/22/2020,02/01/2020,07/11/2020,United States,Male,1-4 years,4,906,26,1,25,54,
07/22/2020,02/01/2020,07/11/2020,United States,Male,5-14 years,13,"1,409",40,5,21,69,
07/22/2020,02/01/2020,07/11/2020,United States,Male,15-24 years,122,"10,964",186,37,27,295,
07/22/2020,02/01/2020,07/11/2020,United States,Male,25-34 years,640,"21,718",703,288,76,"1,122",
07/22/2020,02/01/2020,07/11/2020,United States,Male,35-44 years,"1,692","28,788","1,553",702,129,"2,649",
07/22/2020,02/01/2020,07/11/2020,United States,Male,45-54 years,"4,570","51,441","4,042","2,042",338,"6,836",
07/22/2020,02/01/2020,07/11/2020,United States,Male,55-64 years,"10,455","116,922","10,693","4,770",690,"16,921",
07/22/2020,02/01/2020,07/11/2020,United States,Male,65-74 years,"16,858","167,703","18,043","7,803",789,"27,738",
07/22/2020,02/01/2020,07/11/2020,United States,Male,75-84 years,"18,734","184,841","21,136","8,599",719,"31,878",
07/22/2020,02/01/2020,07/11/2020,United States,Male,85 years and over,"16,581","172,964","18,808","7,092",552,"28,767",
07/22/2020,02/01/2020,07/11/2020,United States,Male,All ages,"69,675","762,153","75,280","31,341","3,374","116,391",
07/22/2020,02/01/2020,07/11/2020,United States,Female,Under 1 year,5,"3,561",25,0,6,36,
07/22/2020,02/01/2020,07/11/2020,United States,Female,1-4 years,5,641,26,1,16,46,
07/22/2020,02/01/2020,07/11/2020,United States,Female,5-14 years,3,970,38,0,28,69,
07/22/2020,02/01/2020,07/11/2020,United States,Female,15-24 years,68,"3,845",114,25,24,180,
07/22/2020,02/01/2020,07/11/2020,United States,Female,25-34 years,295,"9,165",410,128,73,646,
07/22/2020,02/01/2020,07/11/2020,United States,Female,35-44 years,719,"14,992",880,307,113,"1,399",
